"CODE","NAME_KZ","NAME_RU"
"112218","Қаржылық активтерді таза сатып алу","Чистое приобретение финансовых активов"
"114101","РПК, ШШК-де жалпы шығарылым","Валовой выпуск  в ТРИ, ТЗВ"
"114101","РПК-де жалпы шығарылым","Валовой выпуск в ТРИ"
"114102","РПК-де тауарлар мен қызметтер импорты","Импорт товаров и услуг в ТРИ"
"114102","РПК, ШШК-де тауарлар мен қызметтер импорты","Импорт товаров и услуг в ТРИ, ТЗВ"
"114103","РПК-де сауда-делдалдық үстеме бағалар","Торгово-посреднические наценки в ТРИ"
"114103","РПК, ШШК-де сауда-делдалдық үстеме бағалар","Торгово-посреднические наценки в ТРИ, ТЗВ"
"114104","РПК-де көлік үстеме бағалары","Транспортные  наценки в ТРИ"
"114104","РПК, ШШК-де көлік үстеме бағалары","Транспортные  наценки в ТРИ, ТЗВ"
"114105","РПК-де өнім мен импортқа салынатын салықтар","Налоги на продукты и импорт в ТРИ"
"114105","РПК, ШШК-де өнім мен импортқа салынатын салықтар","Налоги на продукты и импорт в ТРИ, ТЗВ"
"114106","РПК, ШШК-де өнім мен импортқа субсидиялар","Субсидии на продукты и импорт в ТРИ, ТЗВ"
"114106","РПК-де өнім мен импортқа субсидиялар","Субсидии на продукты и импорт в ТРИ"
"114108","РПК-де өнімге салынатын таза салықтар","Чистые налоги на продукты в ТРИ"
"114109","РПК-де негізгі бағадағы ресурстар","Ресурсы в основных ценах в ТРИ"
"114110","РПК-де сатып алушылар бағасындағы ресурстар","Ресурсы в ценах покупателя в ТРИ"
"114201","РПК, ШШК-де аралық тұтыну","Промежуточное потребление в ТРИ, ТЗВ"
"114201","РПК-де аралық тұтыну","Промежуточное потребление в ТРИ"
"114301","РПК, ШШК-де түпкілікті сұраныс","Конечный спрос в ТРИ, ТЗВ"
"114301","РПК-де түпкілікті сұраныс","Конечный спрос в ТРИ"
"11430101","РПК, ШШК-де түпкілікті тұтыну","конечное потребление в ТРИ, ТЗВ"
"11430101","РПК-де түпкілікті тұтыну","конечное потребление в ТРИ"
"114301011","РПК, ШШК-де үй шаруашылықтарының  түпкілікті тұтынуға жұмсаған шығыстары","расходы на конечное потребление домашних хозяйств в ТРИ, ТЗВ"
"114301011","РПК-де үй шаруашылықтарының  түпкілікті тұтынуға жұмсаған шығыстары","расходы на конечное потребление домашних хозяйств в ТРИ"
"114301014","РПК-де мемлекеттік басқару органдарының түпкілікті тұтынуға жұмсаған шығыстары","расходы на конечное потребление органов государственного управления в ТРИ"
"114301014","РПК, ШШК-де мемлекеттік басқару органдарының түпкілікті тұтынуға жұмсаған шығыстары","расходы на конечное потребление органов государственного управления в ТРИ, ТЗВ"
"114301015","РПК-де үй шаруашылықтарына қызмет көрсететін коммерциялық емес ұйымдардың түпкілікті тұтынуға жұмсаған шығыстары","расходы на конечное потребление некоммерческих организаций, обслуживающих домашние хозяйства в ТРИ"
"114301015","РПК, ШШК-де үй шаруашылықтарына қзымет көрсететін коммерциялық емес ұйымдардың түпкілікті тұтынуға жұмсаған шығыстары","расходы на конечное потребление некоммерческих организаций, обслуживающих домашние хозяйства в ТРИ, ТЗВ"
"11430102","РПК-де жалпы қорланым","валовое накопление в ТРИ"
"11430102","РПК, ШШК-де жалпы қорланым","валовое накопление в ТРИ, ТЗВ"
"114301021","РПК, ШШК-де негізгі капиталдың жалпы корланымы","валовое накопление основного капитала в ТРИ, ТЗВ"
"114301021","РПК-де негізгі капиталдың жалпы корланымы","валовое накопление основного капитала в ТРИ"
"114301022","РПК-де материалдық айналым қаражаты қорларының өзгеруі","изменение запасов материальных оборотных средств в ТРИ"
"114301022","РПК, ШШК-де материалдық айналым қаражаты қорларының өзгеруі","изменение запасов материальных оборотных средств в ТРИ, ТЗВ"
"114301023","РПК-де сатып алынғаннан шығуын шегергендегі құндылықтар","приобретение минус выбытие ценностей в ТРИ"
"114301023","РПК, ШШК-де сатып алынғаннан шығуын шегергендегі құндылықтар","приобретение минус выбытие ценностей в ТРИ, ТЗВ"
"11430103","РПК, ШШК-де тауарлар мен қызметтер экспорты","экспорт товаров и услуг в ТРИ, ТЗВ"
"11430103","РПК-де тауарлар мен қызметтер экспорты","экспорт товаров и услуг в ТРИ"
"114302","РПК-де жалпы сұраныс","Общий спрос в ТРИ"
"114401","РПК-де жалпы қосылған құн","Валовая добавленная стоимость  в ТРИ"
"114401","РПК, ШШК-де жалпы қосылған құн","Валовая добавленная стоимость  в ТРИ, ТЗВ"
"11440101","РПК-де өндіріске берілген субсидияларды шегергендегі өндіріске салынатын басқа да салықтар ","другие налоги на производство  минус субсидии на производство в ТРИ"
